sec_idx,binance_mid,coinbase_mid,poly_mid,poly_shifted_for_binance,poly_shifted_for_coinbase
0,67172.04500000,67100.19500000,67109.53844505,,
1,67162.31500000,67091.11000000,67109.53844505,,
2,67160.00500000,67087.54500000,67106.65202313,67109.53844505,67109.53844505
3,67158.50500000,67087.54500000,67096.35539143,67109.53844505,67109.53844505
4,67158.50500000,67087.54500000,67093.68069941,67106.65202313,67106.65202313
5,67158.50500000,67087.54500000,67095.02436343,67096.35539143,67096.35539143
6,67158.50500000,67090.34500000,67094.09730752,67093.68069941,67093.68069941
7,67160.73500000,67087.55500000,67094.38664229,67095.02436343,67095.02436343
8,67155.48500000,67080.80500000,67094.38664229,67094.09730752,67094.09730752
9,67129.99500000,67059.83500000,67093.17442559,67094.38664229,67094.38664229
10,67110.00500000,67040.80500000,67085.67443343,67094.38664229,67094.38664229
11,67102.53500000,67029.54000000,67069.44974663,67093.17442559,67093.17442559
12,67086.49500000,67019.64000000,67051.21394518,67085.67443343,67085.67443343
13,67090.17500000,67020.24000000,67031.83586752,67069.44974663,67069.44974663
14,67091.92500000,67026.00500000,67025.85753985,67051.21394518,67051.21394518
15,67091.92500000,67028.85500000,67025.85753985,67031.83586752,67031.83586752
16,67094.95500000,67028.85500000,67029.87236299,67025.85753985,67025.85753985
17,67098.84500000,67033.68500000,67031.09612133,67025.85753985,67025.85753985
18,67114.15500000,67046.10500000,67031.09612133,67029.87236299,67029.87236299
19,67114.15500000,67046.10500000,67042.63199540,67031.09612133,67031.09612133
20,67114.15500000,67042.87500000,67049.66352814,67031.09612133,67031.09612133
21,67104.55500000,67038.64500000,67050.65811375,67042.63199540,67042.63199540
22,67096.46500000,67032.52500000,67043.02880227,67049.66352814,67049.66352814
23,67096.46500000,67032.52500000,67043.02880227,67050.65811375,67050.65811375
24,67096.46500000,67028.86500000,67037.34086237,67043.02880227,67043.02880227
25,67112.81500000,67044.06000000,67036.59770654,67043.02880227,67043.02880227
26,67112.81500000,67044.67500000,67041.30903000,67037.34086237,67037.34086237
27,67112.81500000,67044.39000000,67047.40957213,67036.59770654,67036.59770654
28,67117.99500000,67049.53500000,67048.70802473,67041.30903000,67041.30903000
29,67117.99500000,67053.85500000,67048.70802473,67047.40957213,67047.40957213
30,67117.99500000,67052.68500000,67055.97602807,67048.70802473,67048.70802473
31,67119.99500000,67052.97500000,67056.76334288,67048.70802473,67048.70802473
32,67143.30500000,67079.75000000,67060.59994830,67055.97602807,67055.97602807
33,67155.47500000,67090.79500000,67060.59994830,67056.76334288,67056.76334288
34,67172.29500000,67107.09500000,67089.59427753,67060.59994830,67060.59994830
35,67174.33500000,67113.88000000,67108.38156500,67060.59994830,67060.59994830
36,67196.91500000,67128.22500000,67108.38156500,67089.59427753,67089.59427753
37,67219.99500000,67146.61500000,67127.07214060,67108.38156500,67108.38156500
38,67213.12500000,67141.18000000,67148.27620098,67108.38156500,67108.38156500
39,67212.31500000,67141.26000000,67148.27620098,67127.07214060,67127.07214060
40,67192.53500000,67122.47500000,67149.64000000,67148.27620098,67148.27620098
41,67173.26500000,67107.10500000,67141.93173881,67148.27620098,67148.27620098
42,67164.01500000,67094.66500000,67116.38768412,67149.64000000,67149.64000000
43,67142.56500000,67074.88500000,67116.38768412,67141.93173881,67141.93173881
44,67139.21500000,67072.41500000,67098.47711512,67116.38768412,67116.38768412
45,67132.49500000,67069.08000000,67083.70607675,67116.38768412,67116.38768412
46,67128.55500000,67064.72500000,67077.05394301,67098.47711512,67098.47711512
47,67125.77500000,67052.91500000,67073.67000000,67083.70607675,67083.70607675
48,67104.42500000,67038.73000000,67067.46181183,67077.05394301,67077.05394301
49,67112.80500000,67041.09000000,67060.18950793,67073.67000000,67073.67000000
50,67124.28500000,67048.34000000,67049.13499291,67067.46181183,67067.46181183
51,67139.16500000,67071.38000000,67049.13499291,67060.18950793,67060.18950793
52,67139.16500000,67071.00500000,67060.18950793,67049.13499291,67049.13499291
53,67134.19500000,67068.49500000,67072.31000000,67049.13499291,67049.13499291
54,67151.99500000,67085.65000000,67072.31000000,67060.18950793,67060.18950793
55,67158.38500000,67090.80500000,67073.47728179,67072.31000000,67072.31000000
56,67146.71500000,67084.28500000,67093.39048686,67072.31000000,67072.31000000
57,67146.71500000,67080.51500000,67093.39048686,67073.47728179,67073.47728179
58,67146.12500000,67074.72000000,67089.14647726,67093.39048686,67093.39048686
