sec_idx,binance_mid,coinbase_mid,poly_mid,poly_shifted_for_binance,poly_shifted_for_coinbase
0,67243.53500000,67181.24000000,67178.63396756,,
1,67243.53500000,67191.84500000,67178.63396756,,
2,67261.86500000,67204.89500000,67178.23193874,,
3,67254.43500000,67193.50000000,67184.50064202,67178.63396756,67178.63396756
4,67249.85500000,67183.47500000,67202.66337071,67178.63396756,67178.63396756
5,67249.85500000,67178.98000000,67202.66337071,67178.23193874,67178.23193874
6,67248.21500000,67186.12500000,67198.00654664,67184.50064202,67184.50064202
7,67248.21500000,67182.13500000,67187.88969720,67202.66337071,67202.66337071
8,67241.70500000,67174.32000000,67186.63287938,67202.66337071,67202.66337071
9,67241.70500000,67185.48000000,67186.91069049,67198.00654664,67198.00654664
10,67241.70500000,67177.19500000,67186.78137575,67187.88969720,67187.88969720
11,67241.70500000,67178.50500000,67183.38000000,67186.63287938,67186.63287938
12,67241.70500000,67183.02500000,67185.50281672,67186.91069049,67186.91069049
13,67241.70500000,67183.50500000,67182.08499041,67186.78137575,67186.78137575
14,67241.70500000,67181.43500000,67183.89061531,67183.38000000,67183.38000000
15,67241.70500000,67184.10500000,67183.89061531,67185.50281672,67185.50281672
16,67241.70500000,67178.42000000,67182.86848958,67182.08499041,67182.08499041
17,67262.59500000,67207.00000000,67182.86848958,67183.89061531,67183.89061531
18,67275.51500000,67208.50500000,67184.03425415,67183.89061531,67183.89061531
19,67268.79500000,67198.00500000,67184.03425415,67182.86848958,67182.86848958
20,67268.79500000,67213.19000000,67208.62700000,67182.86848958,67182.86848958
21,67275.41500000,67215.76500000,67207.17412664,67184.03425415,67184.03425415
22,67264.35500000,67193.01500000,67207.17412664,67184.03425415,67184.03425415
23,67248.43500000,67179.29000000,67216.32000000,67208.62700000,67208.62700000
24,67240.96500000,67176.60500000,67198.71082000,67207.17412664,67207.17412664
25,67240.96500000,67173.93500000,67198.71082000,67207.17412664,67207.17412664
26,67240.96500000,67181.68000000,67189.03000000,67216.32000000,67216.32000000
27,67240.96500000,67189.55500000,67183.29230833,67198.71082000,67198.71082000
28,67248.43500000,67190.00500000,67181.29764089,67198.71082000,67198.71082000
29,67248.43500000,67189.50500000,67181.43698201,67189.03000000,67189.03000000
30,67248.43500000,67192.00500000,67188.87200000,67183.29230833,67183.29230833
31,67241.20500000,67167.44000000,67188.86800000,67181.29764089,67181.29764089
32,67213.52500000,67142.96500000,67190.31130000,67181.43698201,67181.43698201
33,67213.52500000,67144.39500000,67188.95552760,67188.87200000,67188.87200000
34,67213.52500000,67146.00500000,67175.60546814,67188.86800000,67188.86800000
35,67213.52500000,67144.96500000,67152.92000000,67190.31130000,67190.31130000
36,67209.32500000,67140.30500000,67152.57371000,67188.95552760,67188.95552760
37,67197.37500000,67128.83500000,67152.57371000,67175.60546814,67175.60546814
38,67197.37500000,67140.00500000,67148.26000000,67152.92000000,67152.92000000
39,67197.37500000,67136.59000000,67148.26000000,67152.57371000,67152.57371000
40,67197.37500000,67133.48500000,67142.61000000,67152.57371000,67152.57371000
41,67197.37500000,67134.99500000,67142.61000000,67148.26000000,67148.26000000
42,67188.38500000,67116.88500000,67139.93000000,67148.26000000,67148.26000000
43,67175.55500000,67112.37500000,67135.74572641,67142.61000000,67142.61000000
44,67175.55500000,67118.21500000,67127.85275064,67142.61000000,67142.61000000
45,67180.50500000,67116.57000000,67127.85275064,67139.93000000,67139.93000000
46,67182.40500000,67123.39500000,67120.01480138,67135.74572641,67135.74572641
47,67182.40500000,67120.25500000,67120.30000000,67127.85275064,67127.85275064
48,67182.40500000,67115.44000000,67121.75192878,67127.85275064,67127.85275064
49,67179.95500000,67116.00500000,67121.07816662,67120.01480138,67120.01480138
50,67166.45500000,67104.76500000,67121.07816662,67120.30000000,67120.30000000
51,67166.45500000,67110.96500000,67117.78673674,67121.75192878,67121.75192878
52,67164.17500000,67099.50500000,67114.27897343,67121.07816662,67121.07816662
53,67164.17500000,67110.99000000,67106.14067088,67121.07816662,67121.07816662
54,67164.17500000,67108.64500000,67105.69042418,67117.78673674,67117.78673674
55,67178.28000000,67122.87000000,67108.52600000,67114.27897343,67114.27897343
56,67179.18500000,67120.03500000,67108.52600000,67106.14067088,67106.14067088
57,67179.18500000,67121.71500000,67109.70787785,67105.69042418,67105.69042418
58,67182.26500000,67133.17500000,67120.23374416,67108.52600000,67108.52600000
59,67189.39500000,67133.16500000,67120.35000000,67108.52600000,67108.52600000
