sec_idx,binance_mid,coinbase_mid,poly_mid,poly_shifted_for_binance,poly_shifted_for_coinbase
0,67131.12500000,67069.99500000,67071.97000000,,
1,67131.12500000,67069.99500000,67071.97000000,,
2,67131.12500000,67069.99500000,67071.97000000,,67071.97000000
3,67131.12500000,67067.67500000,67072.16703174,67071.97000000,67071.97000000
4,67120.00500000,67060.89500000,67070.72908951,67071.97000000,67071.97000000
5,67120.00500000,67054.94500000,67067.17000000,67071.97000000,67072.16703174
6,67120.00500000,67057.99500000,67067.17000000,67072.16703174,67070.72908951
7,67120.00500000,67057.99500000,67063.08676493,67070.72908951,67067.17000000
8,67131.99500000,67061.17000000,67063.18135138,67067.17000000,67067.17000000
9,67131.99500000,67067.53000000,67062.93185020,67067.17000000,67063.08676493
10,67131.99500000,67070.50000000,67065.45351180,67063.08676493,67063.18135138
11,67131.99500000,67070.98500000,67072.91000000,67063.18135138,67062.93185020
12,67140.63500000,67070.98500000,67072.91000000,67062.93185020,67065.45351180
13,67140.63500000,67074.37500000,67075.50360000,67065.45351180,67072.91000000
14,67140.63500000,67074.99000000,67075.50360000,67072.91000000,67072.91000000
15,67140.63500000,67075.48500000,67080.09000000,67072.91000000,67075.50360000
16,67135.03500000,67075.48500000,67079.96512999,67075.50360000,67075.50360000
17,67135.03500000,67068.11500000,67079.28000000,67075.50360000,67080.09000000
18,67140.31500000,67074.33500000,67079.28000000,67080.09000000,67079.96512999
19,67143.56500000,67076.98500000,67076.15199822,67079.96512999,67079.28000000
20,67143.56500000,67081.01500000,67078.61304758,67079.28000000,67079.28000000
21,67143.56500000,67081.01500000,67081.16156589,67079.28000000,67076.15199822
22,67154.83500000,67081.01500000,67082.67803508,67076.15199822,67078.61304758
23,67173.32500000,67096.56500000,67082.60314882,67078.61304758,67081.16156589
24,67179.41500000,67107.76000000,67082.83954545,67081.16156589,67082.67803508
25,67190.84500000,67118.26000000,67108.62400000,67082.67803508,67082.60314882
26,67199.99500000,67126.00000000,67120.26239263,67082.60314882,67082.83954545
27,67199.99500000,67142.01500000,67120.26239263,67082.83954545,67108.62400000
28,67199.99500000,67138.01500000,67132.71501149,67108.62400000,67120.26239263
29,67195.01500000,67139.99500000,67140.68000000,67120.26239263,67120.26239263
30,67190.84500000,67128.80000000,67140.89265686,67120.26239263,67132.71501149
31,67190.84500000,67123.40500000,67132.94444211,67132.71501149,67140.68000000
32,67190.84500000,67124.19500000,67132.94444211,67140.68000000,67140.89265686
33,67202.07500000,67130.69500000,67129.73873638,67140.89265686,67132.94444211
34,67202.07500000,67142.94500000,67129.73873638,67132.94444211,67132.94444211
35,67202.99500000,67142.94500000,67136.36485894,67132.94444211,67129.73873638
36,67202.99500000,67142.94500000,67143.43247374,67129.73873638,67129.73873638
37,67202.99500000,67142.94500000,67144.09320679,67129.73873638,67136.36485894
38,67215.52500000,67142.94500000,67144.65382075,67136.36485894,67143.43247374
39,67217.99500000,67153.31500000,67145.42601000,67143.43247374,67144.09320679
40,67217.99500000,67158.73500000,67147.23428000,67144.09320679,67144.65382075
41,67215.48500000,67158.44500000,67158.17885785,67144.65382075,67145.42601000
42,67215.48500000,67152.33500000,67159.23733259,67145.42601000,67147.23428000
43,67217.87500000,67153.45500000,67159.18118147,67147.23428000,67158.17885785
44,67224.99500000,67154.03500000,67157.57700000,67158.17885785,67159.23733259
