sec_idx,binance_mid,coinbase_mid,poly_mid,poly_shifted_for_binance,poly_shifted_for_coinbase
0,67127.06000000,67072.45000000,67062.96800000,,
1,67141.88500000,67083.63000000,67062.96800000,,
2,67157.02500000,67088.77500000,67062.96800000,67062.96800000,
3,67148.74500000,67082.10000000,67069.86756642,67062.96800000,67062.96800000
4,67136.70500000,67074.50500000,67095.53786940,67062.96800000,67062.96800000
5,67132.30500000,67069.98500000,67095.05870636,67069.86756642,67062.96800000
6,67132.30500000,67070.62000000,67081.48882361,67095.53786940,67069.86756642
7,67151.08500000,67082.64500000,67073.38477532,67095.05870636,67095.53786940
8,67166.45500000,67102.64000000,67073.07956528,67081.48882361,67095.05870636
9,67170.44500000,67099.93500000,67084.23100000,67073.38477532,67081.48882361
10,67170.44500000,67101.99500000,67100.49530661,67073.07956528,67073.38477532
11,67170.44500000,67107.47500000,67106.54600000,67084.23100000,67073.07956528
12,67165.21500000,67100.58500000,67108.72742347,67100.49530661,67084.23100000
13,67165.21500000,67099.75000000,67108.91107138,67106.54600000,67100.49530661
14,67161.71500000,67097.33500000,67105.47599024,67108.72742347,67106.54600000
15,67161.71500000,67101.29500000,67105.47599024,67108.91107138,67108.72742347
16,67171.39500000,67120.06500000,67103.71535630,67105.47599024,67108.91107138
17,67192.45500000,67129.79000000,67103.39809673,67105.47599024,67105.47599024
18,67185.18500000,67126.66500000,67103.39809673,67103.71535630,67105.47599024
19,67181.06500000,67124.48000000,67132.39723949,67103.39809673,67103.71535630
20,67181.06500000,67116.88500000,67132.44353486,67103.39809673,67103.39809673
21,67184.01500000,67122.06500000,67132.44353486,67132.39723949,67103.39809673
22,67184.01500000,67119.56500000,67122.88003803,67132.44353486,67132.39723949
23,67184.01500000,67119.55500000,67124.79350500,67132.44353486,67132.44353486
24,67192.44500000,67128.28500000,67124.79350500,67122.88003803,67132.44353486
25,67187.18500000,67121.95000000,67124.60418663,67124.79350500,67122.88003803
26,67187.18500000,67119.73000000,67124.60418663,67124.79350500,67124.79350500
27,67190.69500000,67128.56000000,67130.92813578,67124.60418663,67124.79350500
28,67184.20500000,67117.04500000,67127.32378261,67124.60418663,67124.60418663
29,67182.75500000,67116.88500000,67128.49483000,67130.92813578,67124.60418663
30,67180.41500000,67116.88500000,67128.02681964,67127.32378261,67130.92813578
31,67178.80500000,67110.36500000,67122.40176850,67128.49483000,67127.32378261
32,67179.41500000,67117.99500000,67121.72000000,67128.02681964,67128.49483000
33,67178.23500000,67113.14500000,67119.15010526,67122.40176850,67128.02681964
34,67178.23500000,67115.29000000,67117.88608608,67121.72000000,67122.40176850
35,67178.23500000,67110.36500000,67120.49750966,67119.15010526,67121.72000000
36,67178.23500000,67110.86500000,67117.15558271,67117.88608608,67119.15010526
37,67178.23500000,67110.86500000,67116.82675577,67120.49750966,67117.88608608
38,67183.47500000,67116.95500000,67115.27621221,67117.15558271,67120.49750966
39,67183.47500000,67114.14500000,67115.27633329,67116.82675577,67117.15558271
40,67176.53500000,67111.43000000,67115.95330968,67115.27621221,67116.82675577
41,67176.53500000,67110.36500000,67119.90411045,67115.27633329,67115.27621221
42,67176.53500000,67110.36500000,67116.57258205,67115.95330968,67115.27633329
43,67165.01500000,67099.96500000,67115.76344913,67119.90411045,67115.95330968
44,67138.56500000,67076.90500000,67114.01051623,67116.57258205,67119.90411045
45,67139.19500000,67085.07500000,67114.01051623,67115.76344913,67116.57258205
46,67155.00500000,67094.97500000,67105.18836361,67114.01051623,67115.76344913
47,67155.00500000,67095.89500000,67086.05700000,67114.01051623,67114.01051623
48,67155.00500000,67101.23500000,67085.34444000,67105.18836361,67114.01051623
49,67155.00500000,67093.35000000,67095.88500000,67086.05700000,67105.18836361
50,67153.59500000,67088.92500000,67098.85700000,67085.34444000,67086.05700000
51,67155.00500000,67097.12500000,67098.42958499,67095.88500000,67085.34444000
52,67155.00500000,67097.12500000,67093.13675000,67098.85700000,67095.88500000
53,67168.83500000,67110.35500000,67096.43763367,67098.42958499,67098.85700000
54,67171.99500000,67110.94500000,67096.43763367,67093.13675000,67098.42958499
55,67181.99500000,67123.39500000,67100.26000000,67096.43763367,67093.13675000
56,67171.39500000,67108.93500000,67110.89900000,67096.43763367,67096.43763367
57,67171.39500000,67103.84500000,67119.47936562,67100.26000000,67096.43763367
58,67166.45500000,67101.47000000,67119.47936562,67110.89900000,67100.26000000
59,67166.45500000,67100.58500000,67112.38929911,67119.47936562,67110.89900000
