sec_idx,binance_mid,coinbase_mid,poly_mid,poly_shifted_for_binance,poly_shifted_for_coinbase
0,67004.18500000,66955.57500000,66945.39479726,,
1,67000.90500000,66957.66500000,66945.39479726,,
2,67002.95500000,66956.71500000,66950.25146855,,
3,67004.18500000,66946.08500000,66949.32800235,,
4,67004.18500000,66943.00500000,66945.01000000,66945.39479726,
5,67014.31500000,66947.45500000,66942.78154197,66945.39479726,
6,67014.31500000,66945.36500000,66947.21021000,66950.25146855,
7,67007.62500000,66944.29500000,66949.14492996,66949.32800235,66945.39479726
8,67007.62500000,66945.17500000,66949.14492996,66945.01000000,66945.39479726
9,67007.62500000,66946.99500000,66958.48000000,66942.78154197,66950.25146855
10,67007.62500000,66949.33500000,66955.89398820,66947.21021000,66949.32800235
11,67007.62500000,66935.17000000,66949.53459706,66949.14492996,66945.01000000
12,67009.58500000,66941.87500000,66949.18330372,66949.14492996,66942.78154197
13,67009.58500000,66941.87500000,66949.71626919,66958.48000000,66947.21021000
14,67009.58500000,66941.87500000,66949.71626919,66955.89398820,66949.14492996
15,67004.04500000,66943.01000000,66948.36038367,66949.53459706,66949.14492996
16,67004.04500000,66947.35500000,66949.32600000,66949.18330372,66958.48000000
17,67004.04500000,66959.66000000,66950.92778958,66949.71626919,66955.89398820
18,67004.04500000,66964.39500000,66950.55475005,66949.71626919,66949.53459706
19,67004.04500000,66964.39500000,66943.35000000,66948.36038367,66949.18330372
20,67009.57500000,66961.99000000,66943.35000000,66949.32600000,66949.71626919
21,67019.77500000,66960.87500000,66945.45227215,66950.92778958,66949.71626919
22,67019.77500000,66962.37500000,66946.68100000,66950.55475005,66948.36038367
23,67023.57500000,66962.37500000,66947.35447020,66943.35000000,66949.32600000
24,67026.14500000,66962.02500000,66959.38000000,66943.35000000,66950.92778958
25,67018.04500000,66962.37500000,66961.98359000,66945.45227215,66950.55475005
26,67018.04500000,66979.75000000,66961.98359000,66946.68100000,66943.35000000
27,67018.04500000,66981.21500000,66963.14857500,66947.35447020,66943.35000000
28,67020.48500000,66981.21500000,66962.77005042,66959.38000000,66945.45227215
29,67021.92500000,66981.21500000,66962.04118586,66961.98359000,66946.68100000
30,67037.48500000,66990.13000000,66962.04118586,66961.98359000,66947.35447020
31,67037.48500000,66998.16000000,66962.35107000,66963.14857500,66959.38000000
32,67037.48500000,66987.00500000,66962.52960000,66962.77005042,66961.98359000
33,67037.48500000,66974.00500000,66976.51278390,66962.04118586,66961.98359000
34,67051.99500000,66972.03500000,66981.10400000,66962.04118586,66963.14857500
35,67051.99500000,66970.69500000,66982.93000000,66962.35107000,66962.77005042
36,67057.97500000,66971.36000000,66982.79498378,66962.52960000,66962.04118586
37,67052.00500000,66975.10500000,66982.79498378,66976.51278390,66962.04118586
38,67036.26500000,66967.54000000,66997.21563500,66981.10400000,66962.35107000
39,67032.63500000,66978.15500000,66997.21563500,66982.93000000,66962.52960000
40,67032.63500000,66977.34000000,66993.08421031,66982.79498378,66976.51278390
41,67032.63500000,66967.81500000,66981.00745734,66982.79498378,66981.10400000
42,67030.00500000,66978.32500000,66975.05174888,66997.21563500,66982.93000000
43,67036.31500000,66980.57500000,66973.56237110,66997.21563500,66982.79498378
44,67032.16500000,66982.15500000,66975.21041537,66993.08421031,66982.79498378
45,67032.16500000,66987.26000000,66974.88215999,66981.00745734,66997.21563500
46,67042.97500000,66988.45500000,66976.44574000,66975.05174888,66997.21563500
47,67042.97500000,66982.94000000,66976.52209289,66973.56237110,66993.08421031
48,67042.97500000,66989.09500000,66975.80103479,66975.21041537,66981.00745734
49,67048.05500000,67003.98000000,66975.38700000,66974.88215999,66975.05174888
50,67048.05500000,67004.72500000,66981.09673038,66976.44574000,66973.56237110
51,67048.05500000,67012.48500000,66983.13000000,66976.52209289,66975.21041537
52,67050.64500000,67012.98000000,66986.81500000,66975.80103479,66974.88215999
53,67059.79000000,67013.45500000,66988.91370857,66975.38700000,66976.44574000
54,67063.08500000,67015.09000000,66988.61120891,66981.09673038,66976.52209289
