sec_idx,binance_mid,coinbase_mid,poly_mid,poly_shifted_for_binance,poly_shifted_for_coinbase
0,67674.54500000,67587.24500000,67565.24149500,,
1,67675.29500000,67571.86500000,67565.24149500,,
2,67663.11500000,67575.33500000,67561.26800000,67565.24149500,
3,67649.26500000,67572.35500000,67583.99977143,67565.24149500,67565.24149500
4,67648.98500000,67593.55000000,67583.40939209,67561.26800000,67565.24149500
5,67625.10500000,67615.74500000,67570.72682998,67583.99977143,67561.26800000
6,67633.77500000,67601.78500000,67581.10188807,67583.40939209,67583.99977143
7,67632.50500000,67581.65000000,67605.20390283,67570.72682998,67583.40939209
8,67655.60500000,67583.36000000,67605.20390283,67581.10188807,67570.72682998
9,67669.14500000,67556.03500000,67591.59100000,67605.20390283,67581.10188807
10,67658.78500000,67580.69000000,67586.31100000,67605.20390283,67605.20390283
11,67690.61500000,67582.92000000,67575.14129394,67591.59100000,67605.20390283
12,67677.79500000,67593.41000000,67564.92524000,67586.31100000,67591.59100000
13,67685.61500000,67610.89500000,67571.62000000,67575.14129394,67586.31100000
14,67690.61500000,67602.97000000,67580.28178179,67564.92524000,67575.14129394
15,67665.60500000,67622.59000000,67594.24715984,67571.62000000,67564.92524000
16,67689.83500000,67622.30500000,67602.27587415,67580.28178179,67571.62000000
17,67691.68500000,67618.43500000,67608.41466230,67594.24715984,67580.28178179
18,67664.00500000,67614.06500000,67617.27442882,67602.27587415,67594.24715984
19,67681.99500000,67603.94000000,67617.72441772,67608.41466230,67602.27587415
20,67677.98500000,67618.48500000,67618.75000000,67617.27442882,67608.41466230
21,67693.72500000,67601.00000000,67609.69650318,67617.72441772,67617.27442882
22,67708.51500000,67616.66000000,67616.01295030,67618.75000000,67617.72441772
23,67708.53500000,67631.79000000,67617.47636120,67609.69650318,67618.75000000
24,67724.53500000,67636.76500000,67605.77943058,67616.01295030,67609.69650318
25,67728.13500000,67649.59000000,67611.58000000,67617.47636120,67616.01295030
26,67744.75500000,67684.48500000,67640.19442582,67605.77943058,67617.47636120
27,67747.99500000,67695.95000000,67641.05371039,67611.58000000,67605.77943058
28,67758.69500000,67780.71000000,67668.79977734,67640.19442582,67611.58000000
29,67799.99500000,67775.54500000,67668.79977734,67641.05371039,67640.19442582
30,67812.94500000,67734.98500000,67690.15926423,67668.79977734,67641.05371039
31,67862.04000000,67737.82000000,67770.71687289,67668.79977734,67668.79977734
32,67826.18500000,67732.85500000,67759.02259873,67690.15926423,67668.79977734
33,67808.42500000,67728.99000000,67741.48955237,67770.71687289,67690.15926423
34,67780.06500000,67702.59000000,67727.80376000,67759.02259873,67770.71687289
35,67785.75500000,67735.76500000,67729.13223081,67741.48955237,67759.02259873
36,67831.36500000,67736.22500000,67721.95000000,67727.80376000,67741.48955237
37,67837.77500000,67774.16000000,67719.61776281,67729.13223081,67727.80376000
38,67836.54500000,67776.01500000,67738.51421413,67721.95000000,67729.13223081
39,67858.50500000,67781.12000000,67752.27160000,67719.61776281,67721.95000000
40,67889.08500000,67783.89000000,67767.32714000,67738.51421413,67719.61776281
41,67882.05500000,67792.83000000,67767.32714000,67752.27160000,67738.51421413
42,67878.35500000,67813.01000000,67773.20463008,67767.32714000,67752.27160000
43,67873.80500000,67821.27000000,67788.62104088,67767.32714000,67767.32714000
44,67898.75500000,67810.03500000,67799.12070176,67773.20463008,67767.32714000
45,67913.74500000,67817.60500000,67804.79842926,67788.62104088,67773.20463008
46,67913.78500000,67831.17500000,67814.94000000,67799.12070176,67788.62104088
47,67910.35500000,67834.97500000,67812.11387457,67804.79842926,67799.12070176
48,67916.68500000,67834.41000000,67818.89785191,67814.94000000,67804.79842926
49,67916.68500000,67846.85500000,67832.07889019,67812.11387457,67814.94000000
50,67937.49500000,67838.74000000,67839.27300000,67818.89785191,67812.11387457
51,67916.69500000,67871.99500000,67843.41274281,67832.07889019,67818.89785191
52,67921.12500000,67858.44500000,67842.24176500,67839.27300000,67832.07889019
53,67929.12500000,67864.90500000,67842.24176500,67843.41274281,67839.27300000
54,67924.97500000,67857.79000000,67842.24176500,67842.24176500,67843.41274281
55,67938.81500000,67876.32500000,67842.24176500,67842.24176500,67842.24176500
